Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5422484872183075
75% Corpus,2,0.01,0.31,0.5033772411617659
75% Corpus,2,0.01,0.61,0.4958884218231541
75% Corpus,2,0.01,0.9099999999999999,0.5194147913732738
75% Corpus,2,0.01,symmetric,0.5063821993835346
75% Corpus,2,0.31,0.01,0.5237168442401877
75% Corpus,2,0.31,0.31,0.5566346658751111
75% Corpus,2,0.31,0.61,0.5566346658751111
75% Corpus,2,0.31,0.9099999999999999,0.5589491862582503
75% Corpus,2,0.31,symmetric,0.5566346658751111
75% Corpus,2,0.61,0.01,0.5276881366732694
75% Corpus,2,0.61,0.31,0.5417746379375037
75% Corpus,2,0.61,0.61,0.5493693649817875
75% Corpus,2,0.61,0.9099999999999999,0.5493693649817875
75% Corpus,2,0.61,symmetric,0.5493693649817876
75% Corpus,2,0.9099999999999999,0.01,0.5185412559780813
75% Corpus,2,0.9099999999999999,0.31,0.5307644471954764
75% Corpus,2,0.9099999999999999,0.61,0.5526681852491924
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5513019681133637
75% Corpus,2,0.9099999999999999,symmetric,0.5487348251290112
75% Corpus,2,symmetric,0.01,0.53164230386966
75% Corpus,2,symmetric,0.31,0.5415448502214271
75% Corpus,2,symmetric,0.61,0.5537805337055633
75% Corpus,2,symmetric,0.9099999999999999,0.5537805337055633
75% Corpus,2,symmetric,symmetric,0.5537805337055633
75% Corpus,2,asymmetric,0.01,0.5828085598013539
75% Corpus,2,asymmetric,0.31,0.5782889227598291
75% Corpus,2,asymmetric,0.61,0.576576773252939
75% Corpus,2,asymmetric,0.9099999999999999,0.5765767732529391
75% Corpus,2,asymmetric,symmetric,0.576576773252939
75% Corpus,3,0.01,0.01,0.5459502642420957
75% Corpus,3,0.01,0.31,0.4927272882445665
75% Corpus,3,0.01,0.61,0.48807890860324893
75% Corpus,3,0.01,0.9099999999999999,0.4953805580808264
75% Corpus,3,0.01,symmetric,0.4927272882445665
75% Corpus,3,0.31,0.01,0.5425555451956737
75% Corpus,3,0.31,0.31,0.5733475089514118
75% Corpus,3,0.31,0.61,0.5614694858230882
75% Corpus,3,0.31,0.9099999999999999,0.5193382096200789
75% Corpus,3,0.31,symmetric,0.5680193796391916
75% Corpus,3,0.61,0.01,0.4916366389543327
75% Corpus,3,0.61,0.31,0.5763560229770426
75% Corpus,3,0.61,0.61,0.570322618606003
75% Corpus,3,0.61,0.9099999999999999,0.570322618606003
75% Corpus,3,0.61,symmetric,0.5730342701837706
75% Corpus,3,0.9099999999999999,0.01,0.5365132943670797
75% Corpus,3,0.9099999999999999,0.31,0.5568578022948377
75% Corpus,3,0.9099999999999999,0.61,0.573389513675844
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5679840226071362
75% Corpus,3,0.9099999999999999,symmetric,0.5568578022948378
75% Corpus,3,symmetric,0.01,0.5220688647775432
75% Corpus,3,symmetric,0.31,0.5632459865401506
75% Corpus,3,symmetric,0.61,0.5614694858230882
75% Corpus,3,symmetric,0.9099999999999999,0.5479546947346035
75% Corpus,3,symmetric,symmetric,0.5682057871669892
75% Corpus,3,asymmetric,0.01,0.6094055288418175
75% Corpus,3,asymmetric,0.31,0.6372631657588501
75% Corpus,3,asymmetric,0.61,0.6290542938461744
75% Corpus,3,asymmetric,0.9099999999999999,0.610306961634745
75% Corpus,3,asymmetric,symmetric,0.6307990153989854
75% Corpus,4,0.01,0.01,0.5107456840824329
75% Corpus,4,0.01,0.31,0.5265263713420899
75% Corpus,4,0.01,0.61,0.5476517154039358
75% Corpus,4,0.01,0.9099999999999999,0.4476441027024595
75% Corpus,4,0.01,symmetric,0.5329284135249339
75% Corpus,4,0.31,0.01,0.48749383477429087
75% Corpus,4,0.31,0.31,0.5692980410513109
75% Corpus,4,0.31,0.61,0.5220173311525727
75% Corpus,4,0.31,0.9099999999999999,0.5103225992514282
75% Corpus,4,0.31,symmetric,0.5658824355334722
75% Corpus,4,0.61,0.01,0.4860061049912325
75% Corpus,4,0.61,0.31,0.5563161515142399
75% Corpus,4,0.61,0.61,0.5498499564372867
75% Corpus,4,0.61,0.9099999999999999,0.544771963672348
75% Corpus,4,0.61,symmetric,0.563964488429955
75% Corpus,4,0.9099999999999999,0.01,0.5324470364068974
75% Corpus,4,0.9099999999999999,0.31,0.5648803484461533
75% Corpus,4,0.9099999999999999,0.61,0.5732192877567863
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5589355495228948
75% Corpus,4,0.9099999999999999,symmetric,0.5667589021028443
75% Corpus,4,symmetric,0.01,0.5026620309032803
75% Corpus,4,symmetric,0.31,0.5492603367614319
75% Corpus,4,symmetric,0.61,0.5094907863065357
75% Corpus,4,symmetric,0.9099999999999999,0.5539338267734418
75% Corpus,4,symmetric,symmetric,0.5587483180504891
75% Corpus,4,asymmetric,0.01,0.5700769176383326
75% Corpus,4,asymmetric,0.31,0.5356253100083493
75% Corpus,4,asymmetric,0.61,0.5799481047954087
75% Corpus,4,asymmetric,0.9099999999999999,0.5530247761136925
75% Corpus,4,asymmetric,symmetric,0.5584594785189563
75% Corpus,5,0.01,0.01,0.5022468702571856
75% Corpus,5,0.01,0.31,0.47445542760956466
75% Corpus,5,0.01,0.61,0.47293792681403224
75% Corpus,5,0.01,0.9099999999999999,0.45560873945193753
75% Corpus,5,0.01,symmetric,0.48963529180550386
75% Corpus,5,0.31,0.01,0.4726534524874181
75% Corpus,5,0.31,0.31,0.5739418312806672
75% Corpus,5,0.31,0.61,0.5209250643360835
75% Corpus,5,0.31,0.9099999999999999,0.5776627071695003
75% Corpus,5,0.31,symmetric,0.5748839702942693
75% Corpus,5,0.61,0.01,0.5104059123785507
75% Corpus,5,0.61,0.31,0.5329810322330714
75% Corpus,5,0.61,0.61,0.5383264183318043
75% Corpus,5,0.61,0.9099999999999999,0.5211684791349936
75% Corpus,5,0.61,symmetric,0.5357414480183978
75% Corpus,5,0.9099999999999999,0.01,0.5133983637794839
75% Corpus,5,0.9099999999999999,0.31,0.5336885028389122
75% Corpus,5,0.9099999999999999,0.61,0.5128318664015972
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5042877734804954
75% Corpus,5,0.9099999999999999,symmetric,0.5263928887670113
75% Corpus,5,symmetric,0.01,0.4920922045566286
75% Corpus,5,symmetric,0.31,0.5758175868844597
75% Corpus,5,symmetric,0.61,0.5259711819783921
75% Corpus,5,symmetric,0.9099999999999999,0.4677117031811897
75% Corpus,5,symmetric,symmetric,0.5680098420020617
75% Corpus,5,asymmetric,0.01,0.5332849269515779
75% Corpus,5,asymmetric,0.31,0.5147817953891703
75% Corpus,5,asymmetric,0.61,0.5296182262809499
75% Corpus,5,asymmetric,0.9099999999999999,0.535356267271376
75% Corpus,5,asymmetric,symmetric,0.5544059963360088
75% Corpus,6,0.01,0.01,0.488287516694389
75% Corpus,6,0.01,0.31,0.5080674144684115
75% Corpus,6,0.01,0.61,0.4697013641535439
75% Corpus,6,0.01,0.9099999999999999,0.4571761001841305
75% Corpus,6,0.01,symmetric,0.5190779783188635
75% Corpus,6,0.31,0.01,0.48785797973603423
75% Corpus,6,0.31,0.31,0.5620657534818677
75% Corpus,6,0.31,0.61,0.4663255713349002
75% Corpus,6,0.31,0.9099999999999999,0.4860282877540793
75% Corpus,6,0.31,symmetric,0.5518414986350403
75% Corpus,6,0.61,0.01,0.5053382191558681
75% Corpus,6,0.61,0.31,0.5559363032410146
75% Corpus,6,0.61,0.61,0.5365866692786256
75% Corpus,6,0.61,0.9099999999999999,0.48050118808321335
75% Corpus,6,0.61,symmetric,0.562315245105147
75% Corpus,6,0.9099999999999999,0.01,0.5022660722028518
75% Corpus,6,0.9099999999999999,0.31,0.537819164203266
75% Corpus,6,0.9099999999999999,0.61,0.5122347347179057
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.507296463099171
75% Corpus,6,0.9099999999999999,symmetric,0.5361267647469674
75% Corpus,6,symmetric,0.01,0.4966919233209592
75% Corpus,6,symmetric,0.31,0.5180450003482696
75% Corpus,6,symmetric,0.61,0.44236596955806884
75% Corpus,6,symmetric,0.9099999999999999,0.5169544319197433
75% Corpus,6,symmetric,symmetric,0.5587296792474351
75% Corpus,6,asymmetric,0.01,0.469741131960524
75% Corpus,6,asymmetric,0.31,0.458694963328659
75% Corpus,6,asymmetric,0.61,0.5413592544903703
75% Corpus,6,asymmetric,0.9099999999999999,0.5216862167881327
75% Corpus,6,asymmetric,symmetric,0.5189952497169523
75% Corpus,7,0.01,0.01,0.4774851882206991
75% Corpus,7,0.01,0.31,0.44553478437818067
75% Corpus,7,0.01,0.61,0.47337701505718177
75% Corpus,7,0.01,0.9099999999999999,0.46274710434227806
75% Corpus,7,0.01,symmetric,0.4918974579449946
75% Corpus,7,0.31,0.01,0.48080024148813844
75% Corpus,7,0.31,0.31,0.5011999525253313
75% Corpus,7,0.31,0.61,0.46098824173512837
75% Corpus,7,0.31,0.9099999999999999,0.5135525751186086
75% Corpus,7,0.31,symmetric,0.4966000404145529
75% Corpus,7,0.61,0.01,0.49501072586189426
75% Corpus,7,0.61,0.31,0.5221757317386821
75% Corpus,7,0.61,0.61,0.4973983337119172
75% Corpus,7,0.61,0.9099999999999999,0.47046738729418675
75% Corpus,7,0.61,symmetric,0.5210427070605874
75% Corpus,7,0.9099999999999999,0.01,0.5047376657872944
75% Corpus,7,0.9099999999999999,0.31,0.5242384124908296
75% Corpus,7,0.9099999999999999,0.61,0.5103147876825024
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5040001014754615
75% Corpus,7,0.9099999999999999,symmetric,0.5081180433539239
75% Corpus,7,symmetric,0.01,0.47118248610527896
75% Corpus,7,symmetric,0.31,0.49230188866101837
75% Corpus,7,symmetric,0.61,0.48690106461426924
75% Corpus,7,symmetric,0.9099999999999999,0.5126950845399004
75% Corpus,7,symmetric,symmetric,0.5115646358435754
75% Corpus,7,asymmetric,0.01,0.46364860700426774
75% Corpus,7,asymmetric,0.31,0.4930048250160653
75% Corpus,7,asymmetric,0.61,0.5810822598785844
75% Corpus,7,asymmetric,0.9099999999999999,0.47002906806528555
75% Corpus,7,asymmetric,symmetric,0.48648577967274403
75% Corpus,8,0.01,0.01,0.48114940790723487
75% Corpus,8,0.01,0.31,0.40998229081901605
75% Corpus,8,0.01,0.61,0.4420726539725931
75% Corpus,8,0.01,0.9099999999999999,0.5077010192674423
75% Corpus,8,0.01,symmetric,0.5228801357799717
75% Corpus,8,0.31,0.01,0.48107491653632706
75% Corpus,8,0.31,0.31,0.5171984833441219
75% Corpus,8,0.31,0.61,0.4667859954663028
75% Corpus,8,0.31,0.9099999999999999,0.4998800303596936
75% Corpus,8,0.31,symmetric,0.5155979965637758
75% Corpus,8,0.61,0.01,0.4809414087292844
75% Corpus,8,0.61,0.31,0.503267006077165
75% Corpus,8,0.61,0.61,0.4980077013470698
75% Corpus,8,0.61,0.9099999999999999,0.48381182473372825
75% Corpus,8,0.61,symmetric,0.4956962767970372
75% Corpus,8,0.9099999999999999,0.01,0.45136585812286023
75% Corpus,8,0.9099999999999999,0.31,0.5030657599299603
75% Corpus,8,0.9099999999999999,0.61,0.48062633593101217
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.46417083377420587
75% Corpus,8,0.9099999999999999,symmetric,0.49753242678666365
75% Corpus,8,symmetric,0.01,0.477008990587752
75% Corpus,8,symmetric,0.31,0.44023551030473423
75% Corpus,8,symmetric,0.61,0.5086879714131132
75% Corpus,8,symmetric,0.9099999999999999,0.45440204972106096
75% Corpus,8,symmetric,symmetric,0.5082648053628038
75% Corpus,8,asymmetric,0.01,0.45902204262668056
75% Corpus,8,asymmetric,0.31,0.48251795216547216
75% Corpus,8,asymmetric,0.61,0.5683074702024484
75% Corpus,8,asymmetric,0.9099999999999999,0.45892015083837123
75% Corpus,8,asymmetric,symmetric,0.4784620107417075
75% Corpus,9,0.01,0.01,0.4816125982201276
75% Corpus,9,0.01,0.31,0.42117056445455864
75% Corpus,9,0.01,0.61,0.46292248710894796
75% Corpus,9,0.01,0.9099999999999999,0.5113256892116961
75% Corpus,9,0.01,symmetric,0.49127525145419465
75% Corpus,9,0.31,0.01,0.4780555409990171
75% Corpus,9,0.31,0.31,0.4441361025816767
75% Corpus,9,0.31,0.61,0.4606021014691952
75% Corpus,9,0.31,0.9099999999999999,0.5045768116408964
75% Corpus,9,0.31,symmetric,0.47386576028489924
75% Corpus,9,0.61,0.01,0.45263171563367854
75% Corpus,9,0.61,0.31,0.4988539560818092
75% Corpus,9,0.61,0.61,0.4491594803634846
75% Corpus,9,0.61,0.9099999999999999,0.415728120251115
75% Corpus,9,0.61,symmetric,0.5036018039647523
75% Corpus,9,0.9099999999999999,0.01,0.4242190947403783
75% Corpus,9,0.9099999999999999,0.31,0.49427598044770893
75% Corpus,9,0.9099999999999999,0.61,0.4852721443063655
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.46875369790792704
75% Corpus,9,0.9099999999999999,symmetric,0.5023456449302537
75% Corpus,9,symmetric,0.01,0.4806843948346428
75% Corpus,9,symmetric,0.31,0.422489012162163
75% Corpus,9,symmetric,0.61,0.47025630943803903
75% Corpus,9,symmetric,0.9099999999999999,0.4810784050066597
75% Corpus,9,symmetric,symmetric,0.4820569514900552
75% Corpus,9,asymmetric,0.01,0.4705399783600382
75% Corpus,9,asymmetric,0.31,0.4416717028788713
75% Corpus,9,asymmetric,0.61,0.5460526721788611
75% Corpus,9,asymmetric,0.9099999999999999,0.4473038868115803
75% Corpus,9,asymmetric,symmetric,0.49756925429316634
75% Corpus,10,0.01,0.01,0.43588075471647547
75% Corpus,10,0.01,0.31,0.45413300071473406
75% Corpus,10,0.01,0.61,0.4601506631858478
75% Corpus,10,0.01,0.9099999999999999,0.4520934389919759
75% Corpus,10,0.01,symmetric,0.45861924173512075
75% Corpus,10,0.31,0.01,0.4294845609297675
75% Corpus,10,0.31,0.31,0.4270841537781611
75% Corpus,10,0.31,0.61,0.4539591063343151
75% Corpus,10,0.31,0.9099999999999999,0.5120850181062976
75% Corpus,10,0.31,symmetric,0.44233786482508747
75% Corpus,10,0.61,0.01,0.42371996460804884
75% Corpus,10,0.61,0.31,0.4991965610723027
75% Corpus,10,0.61,0.61,0.464529242986328
75% Corpus,10,0.61,0.9099999999999999,0.411695066085663
75% Corpus,10,0.61,symmetric,0.49655268637184224
75% Corpus,10,0.9099999999999999,0.01,0.4500808070743164
75% Corpus,10,0.9099999999999999,0.31,0.486687514821745
75% Corpus,10,0.9099999999999999,0.61,0.46557139010643506
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4781883587766894
75% Corpus,10,0.9099999999999999,symmetric,0.49557302489953264
75% Corpus,10,symmetric,0.01,0.4583756871734802
75% Corpus,10,symmetric,0.31,0.4646299984601393
75% Corpus,10,symmetric,0.61,0.5211143466476222
75% Corpus,10,symmetric,0.9099999999999999,0.438017518052253
75% Corpus,10,symmetric,symmetric,0.4673563815688004
75% Corpus,10,asymmetric,0.01,0.4782772939532026
75% Corpus,10,asymmetric,0.31,0.48555705823206363
75% Corpus,10,asymmetric,0.61,0.5159274007286869
75% Corpus,10,asymmetric,0.9099999999999999,0.46281186290091936
75% Corpus,10,asymmetric,symmetric,0.44518249837649726
100% Corpus,2,0.01,0.01,0.5774153440559269
100% Corpus,2,0.01,0.31,0.5317704925690028
